tick_id,first_Erdogan,first_Kilicdaroglu,first_Sinan_Ogan,first_Muharrem_Ince,first_Other,first_Undecided,runoff_Erdogan,runoff_Kilicdaroglu,runoff_Abstain_Invalid_Undecided
T001,50.479,22.936,1.213,18.037,1.51,5.826,49.677,44.723,5.6
T002,52.49,25.0,1.137,16.133,1.45,3.79,51.407,44.7,3.893
T003,54.144,25.028,0.944,16.211,1.278,2.394,53.683,44.183,2.133
T004,42.437,32.85,1.109,15.306,1.122,7.176,43.171,52.508,4.321
T005,42.936,34.472,0.878,11.914,1.038,8.762,42.63,50.233,7.137
T006,48.666,34.3,0.615,10.571,0.855,4.993,49.474,46.694,3.831
T007,46.395,36.634,0.265,10.005,0.558,6.144,46.899,46.912,6.189
T008,48.978,33.694,0.504,10.761,1.208,4.854,49.733,45.717,4.55
T009,51.442,33.396,0.511,10.194,0.731,3.726,51.853,44.507,3.64
T010,45.88,34.473,0.465,9.659,0.871,8.651,46.04,46.033,7.927
T011,42.885,35.233,0.798,10.126,1.125,9.834,43.321,48.711,7.968
T012,49.071,33.901,0.544,9.984,0.38,6.12,49.737,46.017,4.247
T013,43.045,38.46,0.242,9.649,0.398,8.206,43.571,50.588,5.841
T014,45.116,35.262,0.473,9.823,0.446,8.881,45.941,47.228,6.831
T015,51.144,32.994,0.361,9.764,0.334,5.401,52.167,44.1,3.733
T016,44.383,38.25,0.453,9.503,0.543,6.867,45.489,47.972,6.539
T017,42.828,36.444,0.848,8.338,1.071,10.471,43.7,48.617,7.683
T018,37.959,42.848,0.366,7.516,0.316,10.995,38.182,49.456,12.362
T019,45.3,36.289,0.537,7.563,0.691,9.62,46.011,46.628,7.361
T020,40.36,38.539,0.34,7.503,1.298,11.96,41.95,47.8,10.25
T021,36.916,43.336,0.266,7.039,0.26,12.182,37.718,55.678,6.604
T022,35.419,44.552,0.425,6.608,0.422,12.574,35.94,52.867,11.193
T023,42.006,39.178,0.206,5.443,0.673,12.494,42.811,46.311,10.878
T024,42.668,48.688,0.16,1.93,0.047,6.508,43.448,51.131,5.421
T025,46.212,49.056,0.073,0.027,0.151,4.481,46.937,50.293,2.77
T026,44.931,48.04,0.446,0.216,0.256,6.112,45.902,49.172,4.926
T027,46.246,49.296,0.143,0.017,0.143,4.156,46.629,50.946,2.426
T028,44.761,49.195,0.257,0.057,0.083,5.648,45.546,51.026,3.429
T029,44.277,48.992,0.243,0.36,0.353,5.774,44.867,52.75,2.383
T030A_first_round_vote_decision,41.539,49.133,1.372,0.0,0.367,7.589,42.687,48.933,8.38
T030B_first_round_result_revealed,39.841,50.408,5.033,0.003,0.087,4.628,40.211,52.794,6.994
T031,43.522,46.994,2.042,0.06,0.317,7.064,43.797,48.313,7.89
T032,40.355,46.896,2.114,0.02,0.357,10.259,43.76,46.863,9.377
T033,40.738,46.752,2.119,0.08,0.52,9.79,43.848,47.314,8.838
T034,40.743,46.251,1.154,0.167,0.498,11.187,42.731,42.428,14.841
T035A_runoff_vote_decision,42.561,48.928,1.568,0.01,0.33,6.603,41.801,49.061,9.138
T035B_final_result_revealed,45.4,46.694,3.027,0.237,0.493,4.149,52.022,35.022,12.956
