category,n,Erdogan,Erdogan_count,Kilicdaroglu,Kilicdaroglu_count,Sinan_Ogan,Sinan_Ogan_count,Muharrem_Ince,Muharrem_Ince_count,Other,Other_count,Undecided,Undecided_count,top_group
Istanbul,56,26.8,15,73.2,41,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Ankara,29,6.9,2,93.1,27,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Izmir,27,14.8,4,85.2,23,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Kayseri,24,100.0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Konya,24,87.5,21,12.5,3,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Sivas,17,100.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Bursa,15,53.3,8,46.7,7,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Erzurum,14,100.0,14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Yozgat,11,100.0,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Mersin,8,100.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Antalya,7,71.4,5,28.6,2,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Eskisehir,7,0.0,0,100.0,7,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Malatya,7,100.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Diyarbakir,6,0.0,0,100.0,6,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Kahramanmaras,6,100.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Mardin,6,0.0,0,100.0,6,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Gaziantep,5,100.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Karabuk,5,100.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Osmaniye,5,100.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Tunceli,5,0.0,0,100.0,5,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Van,5,0.0,0,100.0,5,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Hatay,4,75.0,3,25.0,1,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Batman,3,0.0,0,100.0,3,0.0,0,0.0,0,0.0,0,0.0,0,Kilicdaroglu
Adiyaman,2,100.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
Sakarya,2,100.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,Erdogan
