word,count
government,6028
erdogan,5116
anger,4909
opposition,3697
kilicdaroglu,2587
frustrated,2295
worry,2213
frustration,2192
hope,2062
sadness,1966
earthquake,1834
support,1828
future,1687
response,1625
against,1507
economic,1434
hdp,1400
worried,1169
nationalist,1067
elections,1057
crisis,981
values,979
rights,965
believe,947
trust,928
people,875
fear,873
decision,873
change,859
pension,857
akp,851
istanbul,813
votes,807
democracy,800
landscape,782
question,745
election,734
implications,720
women,709
effectively,707
withdrawal,705
shift,704
imamoglu,687
handling,675
leadership,672
aid,670
nce,654
betrayal,644
only,636
runoff,624
rhetoric,623
ability,599
endorsement,596
than,595
anti,578
help,575
need,566
during,565
being,554
those,554
ongoing,548
angry,544
attempt,543
regarding,542
unite,541
strong,540
inflation,539
hike,536
issues,527
they,525
democratic,525
treasury,524
struggles,518
failure,511
desperate,511
safety,507
actions,506
concern,499
refugee,493
kurdish,490
however,487
these,487
some,480
concerned,473
suffering,466
case,463
victory,457
left,445
retirees,437
relieved,435
can't,434
economy,432
challenge,431
increase,424
freeze,419
demirtaş,416
attack,416
unity,412
results,411
closure,409
